VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
4;4;2;32;16;33.9305
4;4;4;8;16;29.9624
4;4;4;16;16;20.4724
4;4;4;32;16;20.62
4;4;8;8;16;19.3482
4;4;8;16;16;16.0321
4;4;8;32;16;16.7301
4;4;16;16;16;16.4143
4;4;16;32;16;14.7077
4;4;32;32;16;17.7347
2;2;2;16;24;133.343
2;2;2;32;24;82.4508
2;2;4;8;24;89.92
2;2;4;16;24;47.1911
2;2;4;32;24;50.031
2;2;8;8;24;38.665
2;2;8;16;24;32.6236
2;2;8;32;24;34.5368
2;2;16;16;24;28.2758
2;2;16;32;24;26.3526
2;2;32;32;24;32.1076
3;2;2;16;24;99.0656
3;2;2;32;24;83.6661
3;2;4;8;24;67.6315
3;2;4;16;24;46.7995
3;2;4;32;24;52.1501
3;2;8;8;24;40.5747
3;2;8;16;24;36.0706
3;2;8;32;24;34.5856
3;2;16;16;24;30.4055
3;2;16;32;24;31.4942
3;2;32;32;24;36.1601
4;2;2;16;24;91.7724
4;2;2;32;24;83.7676
4;2;4;8;24;51.9707
4;2;4;16;24;33.8065
4;2;4;32;24;34.561
4;2;8;8;24;27.1815
4;2;8;16;24;25.4444
4;2;8;32;24;27.1116
4;2;16;16;24;21.555
4;2;16;32;24;20.368
4;2;32;32;24;25.1073
3;3;2;16;24;67.2097
3;3;2;32;24;58.3984
3;3;4;8;24;46.365
3;3;4;16;24;33.2791
3;3;4;32;24;33.5581
3;3;8;8;24;29.0494
3;3;8;16;24;25.6621
3;3;8;32;24;26.9567
3;3;16;16;24;23.4798
3;3;16;32;24;22.7093
3;3;32;32;24;27.2741
4;3;2;16;24;62.555
4;3;2;32;24;57.405
4;3;4;8;24;37.6476
4;3;4;16;24;23.6612
4;3;4;32;24;25.1541
4;3;8;8;24;20.9289
4;3;8;16;24;19.8175
4;3;8;32;24;20.5529
4;3;16;16;24;17.5737
4;3;16;32;24;17.5734
4;3;32;32;24;18.3718
4;4;2;16;24;53.2708
4;4;2;32;24;41.6394
4;4;4;8;24;29.2702
4;4;4;16;24;22.5222
4;4;4;32;24;21.974
4;4;8;8;24;17.5945
4;4;8;16;24;17.145
4;4;8;32;24;13.9052
4;4;16;16;24;15.1748
4;4;16;32;24;16.3884
4;4;32;32;24;17.3363
2;2;2;16;32;126.104
2;2;2;32;32;98.6655
2;2;4;8;32;90.6523
2;2;4;16;32;45.3206
